customer_id,signup_date,account_age_months,plan,industry,region,seats,active_users_ratio,monthly_logins,feature_usage_score,support_tickets,avg_response_time_hours,billing_delay_days,mrr_usd,nps,churn
CUST-00037,2024-01-12,27,Pro,Retail,LATAM,12,1.0,66,95.8,1,9.1,1,118.05,79,1
CUST-00038,2022-11-24,40,Starter,Retail,EU,6,0.556,77,93.5,1,2.3,5,44.13,100,0
CUST-00039,2022-07-23,44,Starter,Services,NA,10,0.548,51,77.9,3,8.4,1,59.27,42,1
CUST-00040,2023-06-27,33,Starter,Manufacturing,LATAM,2,0.804,64,77.1,1,3.0,2,53.27,45,0
CUST-00041,2023-04-09,36,Pro,Manufacturing,APAC,7,0.974,66,100.0,0,4.8,1,130.31,100,0
CUST-00042,2023-06-28,33,Starter,Services,EU,8,0.661,56,68.7,1,3.0,0,40.55,37,0
CUST-00043,2021-12-08,52,Starter,Healthcare,LATAM,2,0.549,73,52.3,2,8.1,1,59.0,76,0
CUST-00044,2023-12-20,27,Starter,Services,NA,3,0.572,39,73.9,2,6.6,3,45.66,52,0
CUST-00045,2021-02-14,62,Pro,Manufacturing,NA,11,0.625,46,86.1,4,11.8,2,144.81,57,0
CUST-00046,2021-04-23,60,Starter,Services,NA,6,0.756,67,55.5,5,14.1,1,52.26,24,0
CUST-00047,2023-02-25,37,Starter,Manufacturing,APAC,1,0.7,59,35.9,7,13.2,3,50.37,89,0
CUST-00048,2022-11-17,41,Starter,Education,NA,9,0.774,55,74.3,3,11.0,4,60.93,49,1
CUST-00049,2022-10-27,41,Pro,Manufacturing,APAC,21,0.835,59,92.1,1,10.1,1,136.66,51,0
CUST-00050,2023-12-27,27,Starter,Healthcare,EU,5,0.834,71,18.5,8,12.0,3,51.71,53,0
CUST-00051,2023-11-12,29,Enterprise,Healthcare,APAC,136,0.719,62,89.2,2,11.3,0,1990.88,46,0
CUST-00052,2023-05-14,35,Starter,Retail,NA,4,0.599,44,40.5,6,12.0,3,52.46,50,0
CUST-00053,2021-07-17,57,Starter,Manufacturing,EU,4,0.733,60,90.9,0,3.1,2,47.32,41,0
CUST-00054,2021-04-26,60,Pro,Retail,EU,10,0.772,58,43.7,3,9.5,1,172.23,59,0
CUST-00055,2021-06-17,58,Business,Manufacturing,EU,46,0.818,80,57.9,1,6.4,0,492.83,53,0
CUST-00056,2023-01-07,39,Pro,Retail,LATAM,5,0.673,51,82.5,2,4.2,0,159.61,42,0
CUST-00057,2023-05-06,35,Starter,Manufacturing,LATAM,2,0.806,45,92.9,3,6.0,6,41.67,40,0
CUST-00058,2023-08-18,31,Pro,Healthcare,LATAM,24,0.603,61,71.0,2,11.8,1,156.82,70,0
CUST-00059,2021-05-04,59,Pro,Education,LATAM,21,0.714,63,100.0,1,7.3,2,133.45,54,0
CUST-00060,2021-11-26,52,Pro,Manufacturing,APAC,20,0.949,80,63.6,3,12.5,1,130.3,58,0
CUST-00061,2022-02-10,50,Enterprise,Education,EU,168,0.61,38,53.3,3,7.8,2,1976.97,59,0
CUST-00062,2023-01-29,38,Enterprise,Retail,LATAM,200,0.938,62,76.6,2,5.7,0,2187.01,85,0
CUST-00063,2021-02-25,62,Pro,Retail,NA,30,0.569,49,64.8,2,3.5,2,137.87,36,0
CUST-00064,2023-10-06,30,Starter,Manufacturing,LATAM,1,0.472,44,76.4,0,7.9,2,53.92,60,0
CUST-00065,2021-04-07,60,Pro,Education,APAC,26,0.556,33,63.5,0,6.5,3,170.59,42,0
CUST-00066,2022-09-21,42,Enterprise,Manufacturing,APAC,441,0.798,46,85.4,2,6.7,1,2367.99,56,0
CUST-00067,2024-01-25,26,Enterprise,Retail,LATAM,283,0.889,65,90.3,1,4.6,0,1770.01,85,0
CUST-00068,2021-08-22,56,Starter,Retail,NA,5,0.904,56,100.0,3,11.6,2,55.91,18,0
CUST-00069,2023-04-05,36,Starter,Manufacturing,APAC,8,0.892,52,74.9,1,6.2,3,57.32,49,0
CUST-00070,2022-10-22,41,Starter,Retail,EU,4,0.839,77,68.2,8,13.9,2,66.59,39,0
CUST-00071,2023-09-11,31,Business,Healthcare,APAC,54,0.655,98,81.7,2,6.2,0,369.8,63,0
CUST-00072,2022-12-07,40,Pro,Education,LATAM,22,0.654,54,75.0,1,5.6,2,148.72,81,0
CUST-00073,2023-10-15,29,Starter,Services,LATAM,2,0.828,42,62.2,7,14.6,1,52.6,15,0
CUST-00074,2022-04-29,47,Starter,Retail,EU,2,0.923,67,47.2,3,5.3,2,42.89,86,0
CUST-00075,2021-07-16,57,Starter,Education,LATAM,3,0.555,27,65.9,4,10.1,2,42.16,56,0
CUST-00076,2023-03-27,36,Enterprise,Healthcare,APAC,479,0.974,48,88.7,3,11.2,0,1996.98,58,0
CUST-00077,2024-03-07,25,Pro,Services,EU,30,0.492,55,61.9,4,9.7,2,165.92,18,0
CUST-00078,2022-06-04,46,Starter,Services,LATAM,9,0.768,41,66.8,1,9.2,2,38.46,52,0
CUST-00079,2023-09-11,31,Business,Manufacturing,NA,91,0.764,69,50.7,2,11.1,1,475.29,77,1
CUST-00080,2023-11-19,28,Pro,Services,EU,20,0.749,40,84.8,1,8.9,0,146.9,62,0
CUST-00081,2023-02-14,38,Business,Manufacturing,APAC,69,0.785,74,79.5,1,5.3,0,379.55,59,0
CUST-00082,2023-08-08,32,Business,Healthcare,LATAM,31,0.652,83,93.4,2,7.6,2,546.64,38,0
CUST-00083,2022-11-07,41,Starter,Services,EU,5,0.777,51,54.6,2,8.6,4,49.08,73,0
CUST-00084,2023-08-24,31,Starter,Education,LATAM,7,0.719,56,65.0,3,7.6,2,59.31,52,0
CUST-00085,2022-02-08,50,Starter,Education,APAC,7,0.85,51,58.7,2,6.4,2,45.62,57,0
CUST-00086,2022-09-24,42,Business,Manufacturing,EU,37,1.0,71,98.4,2,6.3,0,518.96,64,0
CUST-00087,2021-04-04,60,Enterprise,Education,LATAM,401,0.799,49,95.6,2,14.1,0,2622.69,48,0
CUST-00088,2021-08-24,56,Starter,Healthcare,EU,3,0.587,62,92.0,5,10.3,2,52.6,30,0
CUST-00089,2022-11-26,40,Business,Retail,EU,48,0.609,51,79.1,2,10.4,3,424.95,27,0
CUST-00090,2023-05-20,34,Business,Education,EU,74,1.0,76,94.8,2,5.5,0,414.08,55,0
CUST-00091,2021-02-05,62,Enterprise,Manufacturing,LATAM,334,1.0,70,94.5,0,9.8,2,2511.75,40,0
CUST-00092,2021-03-24,61,Pro,Services,EU,13,0.913,73,86.5,3,7.9,0,142.67,69,0
CUST-00093,2021-01-08,63,Starter,Manufacturing,APAC,2,0.719,62,70.3,4,10.0,3,49.92,40,0
CUST-00094,2022-09-14,43,Business,Education,LATAM,87,0.902,76,89.4,2,3.1,0,516.17,56,0
CUST-00095,2022-02-07,50,Business,Healthcare,LATAM,90,0.976,72,100.0,2,10.5,0,504.0,65,0
CUST-00096,2021-03-05,61,Business,Manufacturing,APAC,65,0.687,82,81.9,0,8.8,2,456.95,48,0
CUST-00097,2023-08-11,32,Business,Manufacturing,EU,79,0.784,63,71.9,4,6.9,0,417.14,32,0
CUST-00098,2022-09-27,42,Pro,Services,NA,8,0.614,43,74.4,2,10.6,0,138.09,58,0
CUST-00099,2021-01-13,63,Business,Healthcare,APAC,90,0.761,89,76.1,1,3.3,4,546.22,96,0
CUST-00100,2023-04-04,36,Starter,Manufacturing,LATAM,8,0.942,68,82.4,3,10.4,5,49.46,78,0
CUST-00101,2023-12-30,27,Pro,Manufacturing,APAC,12,0.942,68,83.5,0,4.8,0,131.62,93,0
CUST-00102,2022-05-19,47,Starter,Manufacturing,NA,1,0.73,64,84.6,5,14.3,1,47.16,26,0
CUST-00103,2024-02-14,25,Starter,Retail,LATAM,2,0.306,43,75.3,3,9.4,2,40.77,39,1
CUST-00104,2022-05-16,47,Starter,Services,APAC,8,0.612,36,96.3,5,13.3,1,64.93,42,0
CUST-00105,2021-04-03,60,Business,Healthcare,EU,62,0.795,77,74.0,3,11.9,0,390.93,83,0
CUST-00106,2021-05-28,58,Business,Healthcare,LATAM,66,0.748,72,74.8,4,9.2,0,558.79,69,0
CUST-00107,2021-03-22,61,Starter,Retail,APAC,4,0.715,46,78.2,2,7.6,2,42.72,54,0
CUST-00108,2021-12-29,51,Pro,Services,APAC,12,0.816,46,83.0,1,3.8,0,158.38,22,1
CUST-00109,2022-04-07,48,Starter,Retail,APAC,7,0.63,53,81.3,5,10.2,3,31.66,25,0
CUST-00110,2022-06-18,46,Pro,Retail,LATAM,28,0.779,42,54.5,1,11.4,1,170.08,74,0
CUST-00111,2022-07-31,44,Starter,Retail,LATAM,5,0.688,54,75.5,4,11.8,3,44.89,45,0
CUST-00112,2023-11-03,29,Pro,Manufacturing,EU,28,0.675,52,100.0,2,5.1,0,159.83,54,0
CUST-00113,2021-01-14,63,Enterprise,Education,APAC,324,1.0,64,100.0,2,11.8,2,2756.53,77,0
CUST-00114,2023-12-14,27,Pro,Services,LATAM,15,0.709,61,93.0,2,8.7,3,141.73,78,0
CUST-00115,2021-10-14,54,Business,Education,NA,62,0.442,71,81.4,1,8.7,4,472.89,38,0
CUST-00116,2024-02-19,25,Business,Manufacturing,LATAM,94,1.0,71,71.6,3,10.0,3,505.19,74,0
CUST-00117,2021-06-12,58,Starter,Manufacturing,NA,8,0.583,63,49.2,6,13.1,3,57.15,70,0
CUST-00118,2021-05-01,59,Starter,Healthcare,EU,3,0.845,58,67.2,2,2.7,3,46.36,87,0
CUST-00119,2021-05-26,59,Starter,Manufacturing,LATAM,1,0.608,74,51.7,3,11.6,2,66.21,42,0
CUST-00120,2021-12-22,52,Pro,Retail,EU,13,0.865,54,95.7,1,1.0,1,160.35,70,0
CUST-00121,2024-02-04,26,Enterprise,Manufacturing,EU,336,0.773,39,98.2,2,10.2,2,2275.28,73,0
CUST-00122,2022-07-10,45,Pro,Services,NA,13,0.93,73,82.4,4,10.1,2,131.79,58,0
CUST-00123,2021-07-18,57,Pro,Services,APAC,13,0.748,63,90.0,1,8.7,0,150.41,57,0
CUST-00124,2023-02-10,38,Starter,Retail,LATAM,2,0.612,68,75.8,2,8.1,2,52.21,23,0
CUST-00125,2022-09-02,43,Starter,Manufacturing,LATAM,2,0.749,61,86.5,1,9.2,3,49.76,46,0
CUST-00126,2023-04-24,35,Enterprise,Retail,NA,409,0.723,85,45.4,1,6.6,4,2426.33,48,0
CUST-00127,2023-06-09,34,Starter,Manufacturing,NA,4,0.421,45,72.8,1,7.3,5,45.88,29,0
CUST-00128,2023-08-02,32,Business,Healthcare,LATAM,94,0.69,83,59.8,5,12.0,2,503.71,50,1
CUST-00129,2021-07-01,57,Starter,Healthcare,APAC,4,1.0,59,72.4,6,16.8,2,40.0,70,0
CUST-00130,2022-08-19,44,Starter,Retail,LATAM,1,0.437,54,69.5,2,9.2,3,66.47,42,0
CUST-00131,2023-01-27,38,Starter,Healthcare,LATAM,9,0.746,66,57.2,5,7.7,1,39.45,10,0
CUST-00132,2022-10-30,41,Enterprise,Manufacturing,APAC,398,0.744,67,64.2,0,4.1,1,1882.75,62,0
CUST-00133,2024-03-13,24,Starter,Education,APAC,10,0.985,74,66.4,4,11.4,4,47.91,64,0
CUST-00134,2024-02-27,25,Business,Services,NA,50,0.613,30,44.7,4,13.0,2,479.17,52,0
CUST-00135,2023-09-02,31,Starter,Retail,LATAM,5,0.725,56,59.9,1,4.8,2,59.82,48,0
CUST-00136,2021-10-16,54,Pro,Services,LATAM,22,0.883,55,59.2,4,15.5,2,187.35,35,0
CUST-00137,2022-09-27,42,Pro,Healthcare,LATAM,23,0.753,53,51.6,3,9.2,1,145.19,72,0
CUST-00138,2023-08-23,31,Pro,Education,NA,6,0.665,52,80.9,2,8.8,3,156.77,62,0
CUST-00139,2021-11-18,53,Starter,Healthcare,EU,5,0.707,68,55.7,4,6.8,3,54.32,39,0
CUST-00140,2023-05-05,35,Starter,Retail,NA,3,0.664,57,47.5,1,9.4,3,52.32,32,0
CUST-00141,2021-10-27,53,Enterprise,Healthcare,NA,410,0.733,51,59.0,6,11.0,1,1730.06,50,0
CUST-00142,2021-06-18,58,Pro,Services,EU,5,0.92,45,66.4,1,4.7,3,107.32,50,0
CUST-00143,2021-10-15,54,Starter,Education,LATAM,5,0.77,77,88.0,6,11.3,3,54.2,54,0
CUST-00144,2024-01-17,26,Pro,Education,LATAM,26,0.863,53,78.4,3,12.3,1,184.02,62,0
CUST-00145,2024-04-09,24,Starter,Education,APAC,3,0.76,56,53.7,2,8.9,2,55.12,96,0
CUST-00146,2023-10-24,29,Pro,Healthcare,LATAM,8,0.924,88,91.7,1,4.4,1,149.8,65,0
CUST-00147,2021-11-22,53,Pro,Healthcare,LATAM,8,0.976,57,83.5,2,6.4,0,147.26,100,0
CUST-00148,2023-07-25,32,Starter,Services,LATAM,8,0.667,52,66.9,3,12.3,2,47.35,54,0
CUST-00149,2021-09-19,55,Pro,Retail,NA,26,0.903,65,100.0,1,6.0,1,168.07,54,0
CUST-00150,2021-06-02,58,Pro,Education,EU,25,0.586,33,60.9,0,6.9,2,152.88,41,0
CUST-00151,2021-11-07,53,Enterprise,Manufacturing,NA,386,0.442,28,79.3,3,10.8,3,2279.91,30,0
CUST-00152,2021-06-17,58,Business,Services,NA,46,1.0,74,79.4,1,0.2,1,555.7,77,0
CUST-00153,2023-02-08,38,Pro,Services,NA,29,0.73,52,67.1,5,14.2,1,159.82,51,0
CUST-00154,2023-03-31,36,Business,Education,LATAM,32,0.818,76,61.3,4,7.8,0,294.19,21,0
CUST-00155,2021-02-12,62,Starter,Manufacturing,APAC,3,0.526,39,56.0,3,7.9,5,39.34,67,0
CUST-00156,2021-05-09,59,Business,Education,APAC,39,0.589,73,61.6,3,12.6,2,484.4,77,0
CUST-00157,2022-07-29,44,Starter,Healthcare,NA,1,0.603,27,40.1,3,12.4,3,52.55,18,1
CUST-00158,2021-05-16,59,Starter,Healthcare,LATAM,1,0.806,58,74.9,5,12.2,2,47.93,69,0
CUST-00159,2023-09-21,30,Pro,Education,EU,6,0.703,60,73.3,3,10.6,2,141.07,84,0
CUST-00160,2022-04-26,47,Starter,Retail,LATAM,2,0.66,59,42.8,5,13.4,3,42.77,14,0
CUST-00161,2022-05-11,47,Business,Education,LATAM,56,0.668,68,82.9,2,11.3,0,603.56,48,0
CUST-00162,2021-01-07,63,Pro,Education,APAC,7,0.955,56,93.5,6,16.0,1,135.9,37,0
CUST-00163,2023-04-22,35,Starter,Healthcare,LATAM,3,0.84,58,65.7,3,9.1,2,48.28,76,0
CUST-00164,2023-05-16,35,Pro,Services,LATAM,10,0.707,71,64.9,1,4.8,3,163.85,53,0
CUST-00165,2023-06-27,33,Pro,Services,NA,30,0.883,54,96.2,2,7.1,1,155.79,54,0
CUST-00166,2022-10-11,42,Business,Services,NA,57,0.743,84,83.8,1,6.9,1,409.96,69,0
CUST-00167,2021-11-20,53,Business,Manufacturing,NA,46,0.729,86,75.3,1,6.5,2,570.56,89,0
CUST-00168,2021-04-04,60,Starter,Manufacturing,LATAM,6,0.703,35,81.3,4,7.4,3,54.13,50,0
CUST-00169,2022-01-14,51,Business,Retail,EU,79,0.876,75,80.9,3,9.9,2,506.07,51,0
CUST-00170,2022-10-15,42,Pro,Manufacturing,LATAM,12,0.646,43,93.8,2,3.8,3,180.4,50,0
CUST-00171,2021-05-20,59,Starter,Education,APAC,1,0.785,41,66.3,6,12.3,1,57.86,59,0
CUST-00172,2021-03-06,61,Pro,Healthcare,LATAM,10,1.0,75,91.9,1,7.0,0,144.83,45,0
CUST-00173,2021-09-18,55,Starter,Manufacturing,LATAM,8,0.737,63,89.1,3,9.1,2,39.81,55,0
CUST-00174,2021-03-26,61,Starter,Services,NA,4,0.715,60,37.7,2,9.8,3,40.57,41,0
CUST-00175,2021-01-18,63,Starter,Healthcare,LATAM,4,0.697,43,88.4,3,10.6,2,51.23,32,0
CUST-00176,2022-08-06,44,Business,Services,EU,93,0.852,78,71.0,2,13.3,0,435.0,27,0
CUST-00177,2023-06-14,34,Enterprise,Retail,LATAM,348,0.538,35,79.2,1,5.3,1,2149.49,46,0
CUST-00178,2022-08-23,43,Enterprise,Retail,NA,350,1.0,66,100.0,2,8.4,0,2326.91,85,0
CUST-00179,2021-04-20,60,Starter,Education,LATAM,5,0.857,53,71.6,3,9.3,1,41.23,23,0
CUST-00180,2022-02-11,50,Pro,Manufacturing,NA,28,0.683,68,64.2,3,9.2,1,138.25,63,0
CUST-00181,2021-02-12,62,Business,Education,LATAM,30,0.785,69,73.2,3,5.6,0,346.57,45,0
CUST-00182,2023-01-17,39,Starter,Services,LATAM,9,0.626,57,42.5,5,8.0,2,54.68,27,0
CUST-00183,2021-10-07,54,Pro,Services,LATAM,11,0.825,63,100.0,1,6.6,0,180.9,70,0
CUST-00184,2022-04-10,48,Starter,Education,APAC,4,0.719,56,66.4,5,7.1,4,44.13,72,1
CUST-00185,2023-12-19,27,Pro,Services,EU,19,0.814,61,100.0,0,4.7,4,153.24,93,0
CUST-00186,2022-12-06,40,Business,Healthcare,LATAM,87,0.626,72,69.3,1,5.0,1,411.26,63,0
CUST-00187,2023-07-07,33,Starter,Manufacturing,LATAM,5,0.638,43,70.1,3,8.1,1,41.17,51,0
CUST-00188,2022-02-24,49,Starter,Healthcare,LATAM,10,0.882,66,86.1,5,13.8,1,46.41,61,0
CUST-00189,2024-01-22,26,Business,Manufacturing,LATAM,91,0.7,81,60.0,1,3.9,1,519.19,100,0
CUST-00190,2023-05-08,35,Pro,Services,NA,16,0.383,51,63.0,2,9.9,1,154.24,42,0
CUST-00191,2022-09-11,43,Starter,Healthcare,NA,6,0.687,51,82.2,4,8.5,2,51.06,71,0
CUST-00192,2022-11-27,40,Starter,Retail,APAC,7,1.0,67,69.8,6,11.0,2,33.8,43,0
CUST-00193,2023-01-18,38,Enterprise,Retail,EU,260,0.907,58,78.0,0,6.7,3,1866.97,54,1
CUST-00194,2021-07-12,57,Pro,Manufacturing,LATAM,25,0.692,54,93.0,1,5.9,1,150.85,92,0
CUST-00195,2021-10-30,53,Pro,Healthcare,LATAM,26,0.772,44,99.7,1,4.4,2,129.64,62,0
CUST-00196,2023-04-04,36,Pro,Retail,LATAM,11,0.882,78,100.0,2,6.8,2,170.52,67,0
CUST-00197,2022-06-13,46,Enterprise,Services,LATAM,444,0.517,74,55.9,3,4.4,3,1755.28,58,0
CUST-00198,2023-07-30,32,Starter,Manufacturing,NA,9,0.582,44,56.8,4,10.9,2,48.69,31,0
CUST-00199,2022-09-24,42,Starter,Retail,LATAM,10,0.77,68,71.5,1,0.2,3,59.39,54,0
CUST-00200,2021-03-21,61,Pro,Services,LATAM,24,1.0,82,98.8,0,7.7,1,136.43,60,0
CUST-00201,2023-03-09,37,Business,Manufacturing,LATAM,20,0.714,60,46.5,6,13.6,0,548.71,51,0
CUST-00202,2023-01-02,39,Starter,Manufacturing,EU,2,0.945,37,64.2,2,11.7,1,42.34,71,1
CUST-00203,2022-03-14,49,Starter,Education,LATAM,8,0.597,71,57.7,3,14.3,2,44.07,40,0
CUST-00204,2023-08-07,32,Starter,Manufacturing,APAC,8,0.202,41,32.5,7,15.5,3,50.44,64,0
CUST-00205,2022-02-25,49,Pro,Healthcare,NA,15,0.892,56,88.0,4,8.3,2,137.72,56,0
CUST-00206,2021-05-18,59,Pro,Services,LATAM,11,0.861,61,91.1,2,13.1,1,159.07,64,0
CUST-00207,2021-05-26,59,Pro,Healthcare,NA,19,0.89,57,67.5,4,6.9,1,148.71,81,0
CUST-00208,2023-12-18,27,Starter,Manufacturing,NA,3,0.815,95,67.0,5,6.2,2,44.9,36,0
CUST-00209,2022-03-28,48,Business,Education,NA,59,0.809,68,36.7,3,13.4,1,504.77,48,1
CUST-00210,2022-05-13,47,Starter,Retail,NA,6,0.671,59,61.3,4,11.4,2,47.82,55,0
CUST-00211,2022-01-02,51,Business,Healthcare,LATAM,67,0.747,88,89.1,4,5.2,2,469.52,26,0
CUST-00212,2023-06-05,34,Starter,Retail,LATAM,5,0.641,70,62.1,3,5.4,5,50.53,48,0
CUST-00213,2022-12-28,39,Enterprise,Healthcare,LATAM,477,0.72,70,58.2,2,9.1,1,2375.52,95,0
CUST-00214,2023-12-15,27,Pro,Education,EU,19,0.508,45,88.9,2,5.5,1,166.28,84,0
CUST-00215,2023-12-10,28,Pro,Healthcare,EU,13,0.598,51,51.7,3,7.0,1,137.75,67,0
CUST-00216,2024-04-02,24,Starter,Healthcare,EU,4,0.685,29,89.3,5,15.9,2,49.19,69,0
CUST-00217,2022-01-30,50,Starter,Retail,APAC,7,0.374,45,100.0,2,13.1,5,45.04,56,0
CUST-00218,2022-12-02,40,Business,Retail,NA,80,0.479,65,65.7,2,8.1,1,446.67,43,0
CUST-00219,2022-02-20,50,Pro,Healthcare,APAC,15,0.73,66,98.6,0,5.1,4,184.79,93,0
CUST-00220,2023-04-26,35,Business,Services,NA,42,0.761,94,53.3,1,8.9,0,625.82,45,0
CUST-00221,2023-06-17,33,Pro,Retail,NA,7,0.733,66,49.3,2,6.3,0,148.14,75,0
CUST-00222,2021-10-30,53,Pro,Manufacturing,EU,6,0.423,61,56.2,1,1.0,1,170.14,43,0
CUST-00223,2023-10-29,29,Business,Education,LATAM,83,1.0,80,95.3,2,0.8,2,485.47,58,0
CUST-00224,2021-12-15,52,Pro,Manufacturing,LATAM,30,0.565,67,65.0,4,9.7,1,158.49,57,0
CUST-00225,2024-03-25,24,Enterprise,Retail,NA,322,0.657,55,74.9,0,7.7,1,2154.89,98,0
CUST-00226,2023-10-18,29,Pro,Education,LATAM,26,0.591,66,53.9,1,6.6,2,144.03,82,0
CUST-00227,2021-01-22,63,Starter,Services,LATAM,8,0.905,72,75.7,3,10.8,2,44.41,66,0
CUST-00228,2022-04-23,47,Business,Services,EU,32,0.843,80,68.6,2,10.0,0,409.67,62,0
CUST-00229,2022-04-12,48,Starter,Healthcare,NA,6,0.639,36,53.3,4,13.4,2,47.1,63,0
CUST-00230,2023-09-14,31,Starter,Retail,LATAM,4,0.628,67,59.2,1,7.1,1,55.07,82,1
CUST-00231,2023-05-20,34,Starter,Education,LATAM,8,0.737,62,65.5,7,13.9,2,38.55,11,0
CUST-00232,2021-03-02,61,Pro,Education,APAC,24,0.593,61,57.5,3,8.7,1,166.29,49,0
CUST-00233,2023-10-06,30,Pro,Services,APAC,27,0.837,64,80.5,1,6.0,0,148.05,45,0
CUST-00234,2021-09-19,55,Starter,Manufacturing,EU,4,0.628,60,45.3,2,3.8,3,62.61,51,0
CUST-00235,2022-03-20,49,Starter,Services,LATAM,2,0.788,74,79.2,4,12.8,6,38.67,31,0
CUST-00236,2021-07-24,57,Starter,Manufacturing,LATAM,7,0.783,53,75.1,4,8.9,2,43.96,21,0
CUST-00237,2021-07-09,57,Starter,Education,LATAM,4,0.621,59,68.2,2,6.6,3,56.21,31,0
CUST-00238,2022-09-25,42,Starter,Education,EU,10,0.402,38,67.5,2,6.3,4,61.74,38,0
CUST-00239,2021-04-12,60,Starter,Retail,NA,1,0.673,62,84.7,3,5.4,4,52.5,64,0
CUST-00240,2021-04-07,60,Business,Education,EU,63,0.563,70,53.1,0,5.3,1,552.6,44,0
CUST-00241,2023-08-01,32,Business,Education,LATAM,50,0.792,66,72.8,4,11.2,0,496.25,38,0
CUST-00242,2022-02-17,50,Starter,Education,APAC,6,0.672,56,56.1,1,4.8,4,38.42,66,0
CUST-00243,2023-02-17,37,Starter,Healthcare,NA,10,0.622,47,63.0,6,14.7,3,39.83,48,0
