date,store_id,region,product_category,day_of_week,month,holiday_flag,promo_flag,discount_pct,ad_spend,web_traffic,competitor_price_index,inventory_level,avg_temp_c,unit_price,units_sold,revenue,profit
2024-06-26,13,North,Personal Care,2,6,0,0,0.105,547.17,4769,0.965,1332,25.1,12.43,82,909.09,297.12
2024-05-13,8,South,Beverages,0,5,0,0,0.222,476.55,3800,0.946,1175,27.4,14.51,111,1254.84,411.73
2024-11-04,10,South,Beverages,0,11,0,0,0.283,186.67,1390,0.972,1321,-2.0,13.63,67,657.68,259.16
2024-06-27,16,East,Personal Care,3,6,0,1,0.128,756.23,6076,1.02,1113,20.2,12.75,104,1155.77,401.11
2023-09-25,8,South,Personal Care,0,9,0,1,0.124,690.96,4764,0.977,1042,15.9,13.49,110,1300.98,525.98
2024-12-07,2,East,Cleaning,5,12,0,0,0.063,532.63,4587,1.052,1667,14.9,13.42,102,1280.02,348.63
2023-10-27,8,West,Snacks,4,10,0,0,0.114,387.35,3465,0.988,1197,10.9,16.26,66,956.7,311.02
2023-08-26,6,North,Snacks,5,8,0,1,0.254,571.76,5130,0.931,1120,11.8,14.41,87,935.79,352.72
2024-10-23,8,South,Beverages,2,10,0,1,0.235,576.66,4232,0.971,939,3.6,14.82,99,1126.02,366.48
2023-09-28,5,North,Beverages,3,9,1,0,0.13,483.89,4730,0.919,817,11.0,14.24,101,1249.6,363.7
2023-02-25,3,South,Snacks,5,2,0,0,0.152,453.01,2789,0.994,1036,22.3,14.87,115,1449.21,442.52
2023-12-09,20,West,Dairy,5,12,0,1,0.158,723.67,7392,0.903,581,17.7,15.55,130,1700.66,667.24
2024-08-03,3,South,Snacks,5,8,0,0,0.105,419.48,5773,0.942,1055,18.2,16.06,108,1557.01,802.08
2023-05-19,15,North,Dairy,4,5,0,0,0.119,382.27,5116,0.889,1430,25.4,12.36,111,1204.59,403.35
2023-12-04,15,West,Snacks,0,12,1,1,0.105,763.78,6639,0.985,1253,20.6,13.87,95,1178.07,438.8
2023-04-05,13,West,Snacks,2,4,0,1,0.13,1101.24,6428,1.068,668,23.8,14.67,127,1617.27,476.14
2024-05-16,19,South,Cleaning,3,5,0,1,0.133,576.68,5980,0.981,1121,16.3,11.96,113,1177.1,345.23
2023-12-14,1,West,Personal Care,3,12,0,1,0.246,610.72,4946,0.991,1172,16.9,12.19,98,901.86,243.63
2023-08-30,7,North,Snacks,2,8,0,0,0.135,977.02,4033,1.104,1047,14.8,12.38,102,1092.78,241.76
2023-06-15,4,West,Dairy,3,6,0,0,0.157,517.36,5405,1.001,1364,25.0,16.13,121,1639.58,480.3
2024-02-17,12,South,Snacks,5,2,0,0,0.01,229.2,4204,0.979,1331,14.4,13.14,125,1621.89,456.1
2024-05-03,13,South,Beverages,4,5,0,0,0.031,584.83,4226,0.981,1288,35.7,12.04,118,1379.06,382.17
2024-11-17,18,North,Cleaning,6,11,0,0,0.16,304.39,2311,0.98,1652,15.3,13.2,47,517.2,134.27
2023-11-16,8,West,Beverages,3,11,0,0,0.0,595.45,3759,0.988,1278,9.3,15.14,109,1646.92,581.56
2023-04-28,5,West,Snacks,4,4,0,0,0.193,416.25,2110,0.944,1163,20.4,14.04,67,757.52,303.39
2024-08-30,19,South,Dairy,4,8,0,1,0.091,629.63,5939,1.047,1203,20.5,13.72,149,1864.91,426.84
2024-04-04,14,East,Beverages,3,4,0,0,0.171,707.47,3179,1.029,1376,19.4,14.34,82,975.33,310.96
2024-05-26,16,East,Beverages,6,5,0,0,0.067,540.62,4380,0.921,999,38.5,16.2,126,1903.69,563.2
2023-03-12,9,North,Snacks,6,3,0,0,0.183,605.68,3558,0.933,833,21.2,11.94,106,1035.63,373.58
2023-08-17,9,West,Personal Care,3,8,1,0,0.312,639.59,3135,0.919,1427,24.3,11.31,51,394.6,79.76
2024-07-14,8,South,Dairy,6,7,0,1,0.064,628.89,5301,1.034,970,16.9,14.12,114,1503.26,704.7
2024-08-30,15,East,Snacks,4,8,0,0,0.162,547.82,3843,1.037,1037,23.5,14.16,88,1041.28,373.23
2023-11-14,5,North,Beverages,1,11,0,0,0.012,643.47,5185,1.152,1282,6.7,13.81,129,1764.91,627.87
2024-08-10,20,South,Dairy,5,8,0,1,0.226,721.56,4224,0.94,971,14.1,15.9,89,1091.65,331.85
2024-09-06,4,South,Beverages,4,9,0,0,0.108,738.26,4033,0.972,1574,15.9,16.02,88,1261.08,352.55
2023-10-10,10,South,Dairy,1,10,0,0,0.128,586.08,2109,1.017,786,14.0,15.39,89,1193.2,471.8
2024-10-17,7,West,Cleaning,3,10,0,0,0.065,483.92,1986,0.97,1338,16.6,12.78,62,745.77,220.07
2023-07-30,13,South,Snacks,6,7,0,0,0.167,490.24,5589,0.971,1262,15.1,14.58,126,1531.19,448.72
2023-06-24,14,North,Snacks,5,6,0,1,0.113,721.96,7241,0.971,1686,22.5,14.21,156,1960.89,457.38
2024-05-13,19,South,Beverages,0,5,0,0,0.194,249.8,3333,0.85,1246,32.4,12.69,131,1338.37,441.31
2024-04-09,16,East,Beverages,1,4,0,0,0.095,435.59,3065,1.002,1152,21.8,13.06,121,1434.89,543.38
2023-04-13,5,East,Snacks,3,4,0,0,0.036,485.39,3688,1.002,914,29.4,12.31,92,1096.53,447.58
2024-08-30,5,South,Personal Care,4,8,0,0,0.216,383.43,4436,1.03,1541,12.7,13.29,82,855.39,216.14
2023-05-26,18,South,Snacks,4,5,0,0,0.116,504.03,3549,0.991,924,26.2,14.53,93,1197.67,370.64
2024-08-10,10,North,Dairy,5,8,0,1,0.314,703.41,5524,0.879,1109,14.5,12.97,85,756.64,232.08
2023-01-06,2,East,Cleaning,4,1,0,0,0.193,573.79,4210,0.959,1201,13.3,12.1,49,476.0,173.53
2024-08-04,17,West,Beverages,6,8,0,0,0.072,556.1,3656,0.897,1395,12.4,13.27,94,1159.72,450.2
2024-07-28,13,West,Beverages,6,7,0,0,0.115,476.74,3457,0.931,1477,18.9,13.0,105,1211.29,383.92
2024-07-23,1,East,Snacks,1,7,0,0,0.127,231.25,3458,1.02,1305,17.4,13.32,80,932.22,319.25
2024-04-30,16,North,Cleaning,1,4,0,0,0.212,736.52,3830,0.955,1287,35.4,10.43,54,443.84,152.93
2023-12-11,13,West,Snacks,0,12,0,1,0.226,677.3,5638,1.01,1347,20.1,15.05,75,876.21,251.06
2024-05-29,13,North,Cleaning,2,5,0,1,0.211,687.06,4837,0.869,1377,26.7,11.76,126,1170.06,481.42
2023-07-22,18,North,Personal Care,5,7,1,0,0.108,515.2,4160,0.981,1518,13.4,14.64,95,1239.69,345.94
2024-07-23,10,South,Cleaning,1,7,0,0,0.117,371.85,4861,0.967,1436,13.1,11.38,67,675.64,219.95
2024-02-10,10,South,Personal Care,5,2,0,1,0.278,947.05,5890,0.998,1237,33.8,12.93,117,1096.01,366.11
2023-12-02,13,East,Cleaning,5,12,0,0,0.12,671.77,5343,1.024,1160,7.9,14.62,130,1666.29,496.95
2024-01-05,4,South,Personal Care,4,1,0,0,0.096,521.1,2450,1.028,1095,18.7,11.23,87,878.6,276.65
2024-02-20,4,East,Cleaning,1,2,0,0,0.086,432.8,3375,1.076,1166,24.2,13.8,24,302.52,60.29
2023-01-28,17,West,Cleaning,5,1,0,1,0.167,799.06,5622,0.96,881,16.1,14.32,144,1719.56,582.59
2023-04-13,5,West,Cleaning,3,4,0,1,0.116,711.81,7066,1.058,777,20.0,13.07,79,910.5,282.73
2023-06-29,11,East,Personal Care,3,6,0,0,0.075,419.56,1995,0.949,1221,17.3,13.04,64,776.36,272.53
2023-03-25,6,South,Dairy,5,3,1,1,0.29,874.1,5736,0.893,1610,21.6,17.0,107,1295.94,405.49
2023-11-17,5,South,Dairy,4,11,0,0,0.108,379.41,4949,1.031,1136,6.8,14.55,80,1039.15,276.3
2024-05-02,12,North,Dairy,3,5,0,0,0.162,490.36,3265,0.904,978,32.9,14.01,85,1003.43,367.3
2024-04-22,17,South,Personal Care,0,4,0,0,0.0,482.68,3756,1.049,1265,25.9,12.96,60,773.76,230.35
2023-12-10,9,East,Snacks,6,12,1,0,0.154,666.47,4798,0.987,762,10.9,13.4,106,1196.3,453.94
2024-09-16,3,South,Cleaning,0,9,0,0,0.11,350.94,3719,1.046,1207,11.7,10.67,89,845.43,380.55
2024-02-17,5,South,Cleaning,5,2,0,0,0.091,563.62,5600,0.994,1192,26.0,13.55,85,1052.75,344.03
2023-02-27,4,North,Personal Care,0,2,0,0,0.131,304.99,3819,0.99,907,19.9,12.42,47,511.09,160.35
2024-07-12,18,South,Snacks,4,7,0,1,0.17,608.39,6220,1.003,1147,23.4,14.16,125,1469.56,517.85
2024-02-24,7,West,Cleaning,5,2,0,0,0.0,365.37,3272,0.987,1282,14.4,9.98,72,716.28,296.54
2024-04-08,8,South,Cleaning,0,4,0,0,0.175,278.47,2669,0.941,695,33.0,12.04,49,485.46,154.81
2024-02-17,2,East,Personal Care,5,2,0,0,0.135,612.51,4134,1.01,1385,21.9,11.88,66,675.9,198.84
2024-02-09,9,West,Personal Care,4,2,0,0,0.101,294.95,2342,0.993,1118,21.7,11.85,73,776.1,305.81
2023-03-08,19,East,Dairy,2,3,0,1,0.142,588.17,5400,0.964,1387,20.8,14.85,125,1598.22,668.43
2024-02-13,9,South,Dairy,1,2,0,1,0.112,900.87,5555,0.988,1077,14.6,16.48,108,1587.49,551.21
2024-08-03,14,West,Beverages,5,8,0,1,0.213,608.71,4422,1.046,1114,4.0,15.12,88,1045.9,314.6
2023-08-10,4,North,Personal Care,3,8,0,0,0.217,419.9,4208,0.944,1245,9.4,14.21,67,750.09,235.82
2024-03-16,3,South,Snacks,5,3,0,0,0.132,288.08,2335,0.963,839,28.5,14.02,69,833.97,330.59
2023-01-23,15,West,Cleaning,0,1,0,0,0.037,583.27,4943,0.925,1062,12.2,11.53,92,1019.55,333.79
2023-09-11,2,West,Cleaning,0,9,0,0,0.134,585.48,3826,0.985,1136,1.8,13.11,93,1056.68,307.83
2023-11-15,9,North,Snacks,2,11,0,0,0.117,568.23,5248,1.024,1130,5.6,13.41,96,1136.99,453.26
2024-12-18,7,East,Beverages,2,12,0,0,0.172,536.0,3755,1.019,849,11.7,15.67,68,877.66,287.86
2023-06-06,1,North,Beverages,1,6,0,0,0.156,461.77,4454,0.986,810,19.9,16.23,107,1467.75,422.49
2023-07-21,11,West,Personal Care,4,7,0,0,0.0,366.1,3760,1.068,1169,17.2,12.32,81,992.59,411.17
2023-10-26,20,East,Dairy,3,10,0,0,0.153,319.6,4128,1.018,844,16.2,14.03,71,839.71,245.0
2024-12-25,2,South,Beverages,2,12,0,1,0.14,906.38,6018,1.041,842,21.5,13.74,143,1689.95,432.85
2024-09-14,17,East,Cleaning,5,9,0,1,0.115,822.37,4170,1.041,1358,23.1,9.95,103,905.6,288.4
2023-01-26,11,West,Snacks,3,1,0,0,0.109,339.07,4425,1.071,947,8.3,13.54,90,1088.68,405.25
2023-06-20,15,East,Personal Care,1,6,0,1,0.225,706.37,5240,0.955,1476,16.9,15.32,95,1124.82,312.82
2024-08-22,2,West,Snacks,3,8,0,0,0.022,401.98,4417,0.948,1242,18.2,12.74,133,1658.86,613.65
2023-02-12,18,West,Beverages,6,2,0,1,0.242,519.49,5380,0.993,1181,19.3,16.36,138,1708.71,808.79
2024-09-16,1,North,Beverages,0,9,0,1,0.246,728.42,4689,0.998,1132,16.2,13.89,116,1216.6,410.04
2023-07-25,19,West,Dairy,1,7,0,0,0.123,383.52,2827,1.068,940,19.2,17.96,73,1148.46,378.72
2024-10-31,14,North,Snacks,3,10,0,1,0.148,547.59,5433,1.047,1268,19.5,13.25,85,961.78,286.08
2023-08-03,7,East,Cleaning,3,8,0,1,0.141,463.34,4317,1.082,1014,20.3,11.8,100,1008.97,390.77
2023-11-14,1,North,Dairy,1,11,0,1,0.262,449.79,5392,0.986,1143,17.4,13.73,87,882.97,311.46
2024-04-28,13,North,Snacks,6,4,0,1,0.109,640.57,4961,1.004,647,23.5,13.24,113,1328.24,388.61
2023-04-03,2,East,Snacks,0,4,0,0,0.184,436.38,4730,0.905,1347,25.4,16.07,94,1234.51,437.9
2024-02-11,13,North,Snacks,6,2,1,0,0.11,429.95,4171,1.008,893,20.2,14.86,90,1193.69,510.45
2024-01-04,16,South,Personal Care,3,1,0,1,0.194,804.12,5872,0.944,1288,9.0,14.94,125,1510.47,416.18
2024-07-26,6,West,Beverages,4,7,0,0,0.018,439.51,3482,1.026,1495,26.8,12.66,116,1445.79,529.72
2024-12-28,5,North,Personal Care,5,12,0,0,0.111,542.3,4336,0.995,1362,18.5,14.42,85,1088.55,310.87
2024-04-29,5,North,Snacks,0,4,0,0,0.157,420.73,4836,1.004,1541,23.9,12.84,98,1066.37,445.97
2023-10-26,5,South,Beverages,3,10,0,0,0.04,324.06,3423,1.005,1379,17.8,12.63,81,982.78,353.48
2023-10-24,3,North,Snacks,1,10,0,0,0.15,468.26,4383,1.029,1301,6.2,14.53,45,558.78,160.63
2023-11-02,5,North,Beverages,3,11,0,1,0.205,497.97,4736,0.85,1282,0.0,14.82,74,872.94,295.68
2024-08-17,14,North,Cleaning,5,8,0,0,0.081,536.31,4221,1.009,1694,20.0,12.07,66,732.95,278.97
2023-08-23,7,South,Dairy,2,8,0,1,0.251,550.06,6401,1.017,1133,6.3,16.0,88,1057.38,483.99
2023-05-02,16,South,Snacks,1,5,0,1,0.068,846.92,6822,1.097,996,23.8,15.42,157,2251.02,616.19
2023-09-02,17,North,Cleaning,5,9,0,0,0.141,395.85,3759,1.021,1327,12.3,14.06,79,959.53,321.05
2023-01-17,16,West,Dairy,1,1,0,0,0.217,620.01,4553,1.05,1202,20.3,13.33,79,824.4,215.58
2023-03-19,11,West,Personal Care,6,3,0,0,0.206,270.38,2679,0.977,1169,30.0,15.6,83,1025.67,320.5
2023-03-07,7,North,Personal Care,1,3,0,1,0.223,591.56,4819,0.964,1285,28.4,16.14,75,944.1,283.26
2024-07-17,19,South,Cleaning,2,7,0,1,0.182,760.95,5761,1.001,377,21.3,11.49,92,866.63,282.37
2024-06-11,5,East,Cleaning,1,6,0,0,0.082,637.28,5177,0.999,1515,17.3,9.66,93,826.77,242.94
2024-05-23,10,West,Cleaning,3,5,0,0,0.102,716.66,5324,0.955,1079,26.7,10.06,112,1016.33,256.08
2023-12-04,10,South,Dairy,0,12,0,0,0.153,456.62,2872,0.956,1593,5.0,14.35,75,916.75,308.03
2024-06-07,15,South,Cleaning,4,6,0,0,0.072,744.04,5611,0.947,816,31.4,14.82,108,1492.75,365.78
2023-04-28,11,North,Beverages,4,4,0,1,0.245,653.65,5081,0.985,1150,17.6,14.52,94,1034.44,418.35
2024-10-19,16,East,Cleaning,5,10,0,1,0.328,875.8,4939,0.939,1007,7.9,11.14,61,453.78,138.83
2024-01-01,19,East,Personal Care,0,1,0,0,0.116,299.25,4600,0.973,1291,10.1,12.54,99,1096.75,338.64
2024-11-15,8,East,Beverages,4,11,0,1,0.119,767.23,6819,0.962,1493,6.7,12.65,101,1120.83,410.42
2023-04-22,18,North,Cleaning,5,4,0,0,0.039,75.33,2963,1.035,1157,26.1,13.22,93,1184.43,323.05
2023-12-30,4,South,Personal Care,5,12,0,1,0.247,520.55,5400,0.997,859,10.8,13.37,99,998.39,270.98
2024-05-23,19,North,Snacks,3,5,0,0,0.116,524.67,4765,0.934,1018,31.8,17.14,91,1374.31,371.17
2023-12-28,4,South,Dairy,3,12,1,0,0.173,360.01,4836,0.912,938,15.4,15.88,77,1016.88,312.64
2023-11-22,18,South,Personal Care,2,11,0,1,0.168,768.31,6160,1.026,1355,8.3,14.66,138,1689.19,658.26
2023-05-02,8,West,Personal Care,1,5,0,0,0.17,595.03,3090,0.909,1448,24.1,13.16,95,1040.5,434.11
2023-10-06,20,North,Beverages,4,10,0,1,0.191,619.79,6868,1.0,1426,17.3,12.97,122,1284.21,342.4
2023-06-24,3,East,Snacks,5,6,0,1,0.156,544.97,5794,1.062,1075,27.5,12.98,127,1389.47,588.58
2023-08-09,10,North,Cleaning,2,8,0,0,0.096,374.13,3164,1.077,1583,7.2,10.08,52,469.62,111.31
2024-05-14,19,North,Snacks,1,5,0,0,0.048,295.47,2460,1.045,1763,20.8,15.47,89,1310.02,430.31
2024-04-05,1,East,Snacks,4,4,0,1,0.319,683.81,5706,0.976,1523,28.8,13.66,104,965.31,315.79
2024-03-19,6,West,Beverages,1,3,0,0,0.114,466.33,3649,1.104,351,27.0,15.83,92,1283.81,422.17
2023-09-22,2,South,Beverages,4,9,0,0,0.159,401.04,4000,0.864,1318,4.8,14.69,126,1563.02,525.5
2024-12-01,7,West,Dairy,6,12,0,0,0.088,717.9,5323,0.975,1423,18.5,14.59,100,1337.16,464.22
2023-03-05,8,North,Cleaning,6,3,0,1,0.137,584.9,4445,1.028,1258,19.6,10.36,73,655.16,155.47
2023-09-08,13,North,Cleaning,4,9,0,0,0.106,672.63,3513,0.977,928,18.9,12.42,49,538.69,113.41
2023-03-28,6,South,Cleaning,1,3,0,0,0.186,283.4,3697,1.035,1194,28.1,11.69,71,675.33,228.7
2023-09-05,4,South,Snacks,1,9,0,1,0.169,711.64,4855,0.976,1352,4.3,15.46,94,1202.02,435.9
2024-12-03,4,West,Snacks,1,12,0,0,0.068,639.3,4549,1.01,968,10.8,13.2,103,1267.54,347.75
2023-09-25,19,North,Beverages,0,9,0,1,0.209,881.02,4634,0.954,1359,7.8,15.36,79,957.04,389.98
2024-10-25,20,West,Beverages,4,10,0,0,0.15,382.76,3421,0.956,1366,11.0,16.8,94,1347.04,451.36
2023-12-28,5,East,Snacks,3,12,0,1,0.299,788.81,6210,0.918,1302,12.8,14.58,89,905.22,247.4
2024-05-25,4,North,Beverages,5,5,0,1,0.221,767.39,6048,0.978,1281,18.1,15.6,137,1660.14,638.22
2023-11-30,2,North,Beverages,3,11,0,0,0.159,363.61,2881,0.942,968,2.7,15.3,69,891.16,266.16
2023-07-14,20,South,Beverages,4,7,0,1,0.243,798.55,4544,1.007,646,21.3,17.16,149,1930.4,672.21
2024-07-11,15,East,Cleaning,3,7,0,0,0.051,748.0,4758,1.04,1175,19.7,12.52,97,1153.03,409.77
2024-12-08,16,West,Dairy,6,12,0,0,0.062,525.47,4581,1.059,1391,14.6,15.98,129,1931.65,598.96
2023-07-12,6,West,Personal Care,2,7,0,0,0.055,540.62,4487,0.95,971,19.6,13.45,96,1223.7,488.19
2024-07-22,13,South,Cleaning,0,7,1,1,0.12,927.54,5522,0.905,529,14.3,10.92,137,1311.68,367.23
2023-07-10,2,North,Dairy,0,7,0,0,0.168,216.24,3417,0.978,1040,19.1,13.31,65,720.49,327.9
2024-06-07,14,South,Beverages,4,6,0,0,0.137,523.64,5423,1.131,1426,37.2,16.27,128,1797.39,615.44
2024-07-29,12,North,Dairy,0,7,1,0,0.125,407.32,3907,1.052,1094,25.0,13.59,111,1317.71,465.26
2023-11-25,7,West,Beverages,5,11,0,0,0.0,355.62,2097,0.992,1647,9.3,15.54,102,1588.44,618.02
2024-06-21,15,North,Snacks,4,6,0,0,0.243,795.91,5071,0.98,1433,18.9,14.78,112,1251.25,387.43
2023-07-18,13,South,Snacks,1,7,0,0,0.066,409.48,5568,1.04,1479,0.8,15.48,106,1526.36,553.33
2023-02-27,9,South,Snacks,0,2,0,0,0.243,331.57,2336,0.891,1069,28.4,13.48,68,691.77,199.87
2023-03-12,4,South,Snacks,6,3,0,0,0.033,634.41,4430,1.08,1381,29.6,13.09,142,1797.33,581.9
2023-11-23,1,West,Cleaning,3,11,0,0,0.071,298.37,3191,0.994,1048,7.8,12.53,84,983.3,327.53
2024-10-20,19,South,Personal Care,6,10,0,0,0.0,378.41,3722,1.015,1289,1.4,13.09,75,976.84,326.67
2023-04-04,6,East,Cleaning,1,4,0,1,0.222,899.85,6074,0.966,1215,19.1,10.28,92,736.99,225.47
2023-11-29,7,East,Dairy,2,11,0,0,0.054,456.84,4897,1.064,787,13.7,17.71,76,1277.44,468.15
2024-05-28,14,East,Dairy,1,5,0,0,0.056,200.14,3177,0.968,1058,24.4,13.89,100,1307.74,464.7
2023-05-28,6,West,Beverages,6,5,0,0,0.038,537.04,5261,0.925,1113,29.1,13.11,109,1369.16,489.19
2024-06-10,8,West,Cleaning,0,6,0,0,0.167,386.57,3554,0.994,1280,22.5,11.66,77,750.8,212.66
2023-08-12,15,West,Dairy,5,8,0,0,0.163,696.38,4274,0.877,858,19.8,16.75,95,1339.22,446.94
2024-08-13,12,South,Snacks,1,8,0,1,0.309,603.01,4407,0.928,820,16.2,11.17,80,618.33,175.1
